packet_id, eth_src_addr,eth_dst_addr,eth_prot,IP_vers,IHL,type_svc,tot_len,id,TTL,IP_prot,IP_prot_name,hdr_chksm,src_ip,dst_ip
201921018472,0A-C6-BB-35-81-36,0A-82-EB-6A-D2-4A,8,4,20,8,28672,13373,255,6,TCP,23784,172.31.15.212,34.218.119.33
201921018473,0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,13312,20705,253,6,TCP,31814,34.218.119.33,172.31.15.212
201921018474,0A-C6-BB-35-81-36,0A-82-EB-6A-D2-4A,8,4,20,8,26624,13629,255,6,TCP,25576,172.31.15.212,34.218.119.33
201921018475,0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,13312,20961,253,6,TCP,31558,34.218.119.33,172.31.15.212
201921018476,0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,40961,21217,253,6,TCP,3653,34.218.119.33,172.31.15.212
201921018477,0A-C6-BB-35-81-36,0A-82-EB-6A-D2-4A,8,4,20,8,28672,13885,255,6,TCP,23272,172.31.15.212,34.218.119.33
201921018478,0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,13312,21473,253,6,TCP,31046,34.218.119.33,172.31.15.212
201921018479,0A-C6-BB-35-81-36,0A-82-EB-6A-D2-4A,8,4,20,8,26624,14141,255,6,TCP,25064,172.31.15.212,34.218.119.33
201921018471,0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,13312,21729,253,6,TCP,30790,34.218.119.33,172.31.15.212
201921018472,0A-C6-BB-35-81-36,0A-82-EB-6A-D2-4A,8,4,20,8,24576,14397,255,6,TCP,26856,172.31.15.212,34.218.119.33
201921018473,0A-C6-BB-35-81-36,0A-82-EB-6A-D2-4A,8,4,20,8,22533,14653,255,6,TCP,28643,172.31.15.212,34.218.119.33
201921018474,0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,13312,21985,253,6,TCP,30534,34.218.119.33,172.31.15.212
201921018475,0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,13312,22241,253,6,TCP,30278,34.218.119.33,172.31.15.212
201921018486,0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,28672,22497,253,6,TCP,14662,34.218.119.33,172.31.15.212
201921018487,0A-C6-BB-35-81-36,0A-82-EB-6A-D2-4A,8,4,20,8,24576,14909,255,6,TCP,26344,172.31.15.212,34.218.119.33
201921018488,0A-C6-BB-35-81-36,0A-82-EB-6A-D2-4A,8,4,20,8,26624,15165,255,6,TCP,24040,172.31.15.212,34.218.119.33
201921018489,0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,13312,22753,253,6,TCP,29766,34.218.119.33,172.31.15.212
201921018481,0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,13312,23009,253,6,TCP,29510,34.218.119.33,172.31.15.212
201921018482,0A-C6-BB-35-81-36,0A-82-EB-6A-D2-4A,8,4,20,184,19456,51564,255,17,User Datagram,7728,172.31.15.212,45.76.244.193
201921018483,0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,0,19456,21520,45,17,User Datagram,19551,45.76.244.193,172.31.15.212
