eth_src_addr,eth_dst_addr,eth_prot,IP_vers,IHL,type_svc,tot_len,id,TTL,IP_prot,hdr_chksm,src_ip,dst_ip
1C-1B-0D-04-CE-0B,FF-FF-FF-FF-FF-FF,8,4,20,0,8961,11142,128,17,45358,192.168.1.158,192.168.1.255
1C-1B-0D-04-CE-0B,FF-FF-FF-FF-FF-FF,8,4,20,0,8961,12166,128,17,44334,192.168.1.158,192.168.1.255
20-C0-47-ED-6C-D2,01-00-5E-00-00-01,8,4,20,0,9216,13650,1,1,63877,192.168.1.1,224.0.0.1
10-4F-A8-F5-01-E6,01-00-5E-00-00-FB,8,4,20,0,17408,33270,255,17,58081,192.168.1.160,224.0.0.251
10-4F-A8-F5-01-E6,01-00-5E-00-00-FB,8,4,20,0,35073,33526,255,17,40160,192.168.1.160,224.0.0.251
1C-1B-0D-04-CE-0B,FF-FF-FF-FF-FF-FF,8,4,20,0,8961,12422,128,17,44078,192.168.1.158,192.168.1.255
1C-1B-0D-04-CE-0B,FF-FF-FF-FF-FF-FF,8,4,20,0,8961,12934,128,17,43566,192.168.1.158,192.168.1.255
1C-1B-0D-04-CE-0B,FF-FF-FF-FF-FF-FF,8,4,20,0,8961,13190,128,17,43310,192.168.1.158,192.168.1.255
1C-1B-0D-04-CE-0B,FF-FF-FF-FF-FF-FF,8,4,20,0,8961,13958,128,17,42542,192.168.1.158,192.168.1.255
1C-1B-0D-04-CE-0B,FF-FF-FF-FF-FF-FF,8,4,20,0,8961,14470,128,17,42030,192.168.1.158,192.168.1.255
1C-1B-0D-04-CE-0B,FF-FF-FF-FF-FF-FF,8,4,20,0,8961,14726,128,17,41774,192.168.1.158,192.168.1.255
1C-1B-0D-04-CE-0B,FF-FF-FF-FF-FF-FF,8,4,20,0,8961,14982,128,17,41518,192.168.1.158,192.168.1.255
1C-1B-0D-04-CE-0B,FF-FF-FF-FF-FF-FF,8,4,20,0,8961,15750,128,17,40750,192.168.1.158,192.168.1.255
1C-1B-0D-04-CE-0B,FF-FF-FF-FF-FF-FF,8,4,20,0,8961,16006,128,17,40494,192.168.1.158,192.168.1.255
1C-1B-0D-04-CE-0B,FF-FF-FF-FF-FF-FF,8,4,20,0,8961,16262,128,17,40238,192.168.1.158,192.168.1.255
B8-27-EB-6C-3D-87,20-C0-47-ED-6C-D2,8,4,20,0,15104,18999,64,17,28287,192.168.1.168,192.168.1.1
B8-27-EB-6C-3D-87,20-C0-47-ED-6C-D2,8,4,20,0,15104,19255,64,17,28031,192.168.1.168,192.168.1.1
20-C0-47-ED-6C-D2,B8-27-EB-6C-3D-87,8,4,20,0,19200,41843,64,17,1411,192.168.1.1,192.168.1.168
20-C0-47-ED-6C-D2,B8-27-EB-6C-3D-87,8,4,20,0,38144,39949,64,17,49896,192.168.1.1,192.168.1.168
B8-27-EB-6C-3D-87,20-C0-47-ED-6C-D2,8,4,20,0,15360,60025,64,6,41279,192.168.1.168,165.227.24.253
20-C0-47-ED-6C-D2,B8-27-EB-6C-3D-87,8,4,20,0,15360,0,56,6,35777,165.227.24.253,192.168.1.168
B8-27-EB-6C-3D-87,20-C0-47-ED-6C-D2,8,4,20,0,13312,60281,64,6,43071,192.168.1.168,165.227.24.253
B8-27-EB-6C-3D-87,20-C0-47-ED-6C-D2,8,4,20,0,33024,60537,64,6,23103,192.168.1.168,165.227.24.253
20-C0-47-ED-6C-D2,B8-27-EB-6C-3D-87,8,4,20,0,13312,18672,56,6,19153,165.227.24.253,192.168.1.168
20-C0-47-ED-6C-D2,B8-27-EB-6C-3D-87,8,4,20,0,13314,18928,56,6,18895,165.227.24.253,192.168.1.168
B8-27-EB-6C-3D-87,20-C0-47-ED-6C-D2,8,4,20,0,13312,60793,64,6,42559,192.168.1.168,165.227.24.253
B8-27-EB-6C-3D-87,20-C0-47-ED-6C-D2,8,4,20,0,13312,61049,64,6,42303,192.168.1.168,165.227.24.253
20-C0-47-ED-6C-D2,B8-27-EB-6C-3D-87,8,4,20,0,13312,19184,56,6,18641,165.227.24.253,192.168.1.168
B8-27-EB-6C-3D-87,20-C0-47-ED-6C-D2,8,4,20,0,13312,61305,64,6,42047,192.168.1.168,165.227.24.253
1C-1B-0D-04-CE-0B,FF-FF-FF-FF-FF-FF,8,4,20,0,8961,16518,128,17,39982,192.168.1.158,192.168.1.255
20-C0-47-ED-6C-D2,01-00-5E-00-00-01,8,4,24,192,9216,22597,1,2,4349,192.168.1.1,224.0.0.1
B8-27-EB-6C-3D-87,20-C0-47-ED-6C-D2,8,4,20,16,19456,60633,64,17,32452,192.168.1.168,96.8.121.205
20-C0-47-ED-6C-D2,B8-27-EB-6C-3D-87,8,4,20,40,19456,35792,52,17,51161,96.8.121.205,192.168.1.168
1C-1B-0D-04-CE-0B,FF-FF-FF-FF-FF-FF,8,4,20,0,8961,17542,128,17,38958,192.168.1.158,192.168.1.255
1C-1B-0D-04-CE-0B,FF-FF-FF-FF-FF-FF,8,4,20,0,8961,17798,128,17,38702,192.168.1.158,192.168.1.255
B8-27-EB-6C-3D-87,01-00-5E-00-00-16,8,4,24,192,10240,0,1,2,43329,192.168.1.168,224.0.0.22
1C-1B-0D-04-CE-0B,FF-FF-FF-FF-FF-FF,8,4,20,0,8961,18054,128,17,38446,192.168.1.158,192.168.1.255
1C-1B-0D-04-CE-0B,FF-FF-FF-FF-FF-FF,8,4,20,0,8961,18310,128,17,38190,192.168.1.158,192.168.1.255
1C-1B-0D-04-CE-0B,FF-FF-FF-FF-FF-FF,8,4,20,0,8961,18566,128,17,37934,192.168.1.158,192.168.1.255
1C-1B-0D-04-CE-0B,FF-FF-FF-FF-FF-FF,8,4,20,0,8961,19846,128,17,36654,192.168.1.158,192.168.1.255
1C-1B-0D-04-CE-0B,FF-FF-FF-FF-FF-FF,8,4,20,0,8961,20102,128,17,36398,192.168.1.158,192.168.1.255
1C-1B-0D-04-CE-0B,FF-FF-FF-FF-FF-FF,8,4,20,0,8961,20358,128,17,36142,192.168.1.158,192.168.1.255
1C-1B-0D-04-CE-0B,FF-FF-FF-FF-FF-FF,8,4,20,0,8961,21382,128,17,35118,192.168.1.158,192.168.1.255
1C-1B-0D-04-CE-0B,FF-FF-FF-FF-FF-FF,8,4,20,0,8961,21638,128,17,34862,192.168.1.158,192.168.1.255
1C-1B-0D-04-CE-0B,FF-FF-FF-FF-FF-FF,8,4,20,0,8961,22662,128,17,33838,192.168.1.158,192.168.1.255
1C-1B-0D-04-CE-0B,FF-FF-FF-FF-FF-FF,8,4,20,0,8961,23174,128,17,33326,192.168.1.158,192.168.1.255
1C-1B-0D-04-CE-0B,FF-FF-FF-FF-FF-FF,8,4,20,0,8961,23430,128,17,33070,192.168.1.158,192.168.1.255
1C-1B-0D-04-CE-0B,FF-FF-FF-FF-FF-FF,8,4,20,0,8961,23686,128,17,32814,192.168.1.158,192.168.1.255
B8-27-EB-6C-3D-87,20-C0-47-ED-6C-D2,8,4,20,0,15104,21052,64,17,26234,192.168.1.168,192.168.1.1
B8-27-EB-6C-3D-87,20-C0-47-ED-6C-D2,8,4,20,0,15104,21308,64,17,25978,192.168.1.168,192.168.1.1
20-C0-47-ED-6C-D2,B8-27-EB-6C-3D-87,8,4,20,0,19200,23625,64,17,19629,192.168.1.1,192.168.1.168
20-C0-47-ED-6C-D2,B8-27-EB-6C-3D-87,8,4,20,0,38144,24983,64,17,64862,192.168.1.1,192.168.1.168
B8-27-EB-6C-3D-87,20-C0-47-ED-6C-D2,8,4,20,0,15360,17048,64,6,18721,192.168.1.168,165.227.24.253
20-C0-47-ED-6C-D2,B8-27-EB-6C-3D-87,8,4,20,0,15360,0,56,6,35777,165.227.24.253,192.168.1.168
B8-27-EB-6C-3D-87,20-C0-47-ED-6C-D2,8,4,20,0,13312,17304,64,6,20513,192.168.1.168,165.227.24.253
B8-27-EB-6C-3D-87,20-C0-47-ED-6C-D2,8,4,20,0,14594,17560,64,6,18975,192.168.1.168,165.227.24.253
20-C0-47-ED-6C-D2,B8-27-EB-6C-3D-87,8,4,20,0,13312,52101,56,6,51259,165.227.24.253,192.168.1.168
20-C0-47-ED-6C-D2,B8-27-EB-6C-3D-87,8,4,20,0,56325,52357,56,6,7990,165.227.24.253,192.168.1.168
B8-27-EB-6C-3D-87,20-C0-47-ED-6C-D2,8,4,20,0,13312,17816,64,6,20001,192.168.1.168,165.227.24.253
20-C0-47-ED-6C-D2,B8-27-EB-6C-3D-87,8,4,20,0,56325,52613,56,6,7734,165.227.24.253,192.168.1.168
B8-27-EB-6C-3D-87,20-C0-47-ED-6C-D2,8,4,20,0,13312,18072,64,6,19745,192.168.1.168,165.227.24.253
